Transaction_ID,Customer_Age,Gender,Income_Category,Transaction_Amount,Transaction_Type,Merchant_Type,Previous_Transactions,Fraudulent
TXN256,33,Male,Medium,2431.99,In-store,Electronics,2,0
TXN257,50,Male,Low,4167.78,Online,Electronics,24,0
TXN258,26,Female,Low,3941.07,In-store,Grocery,19,0
TXN259,23,Male,Low,1130.01,Online,Electronics,8,0
TXN260,33,Female,Low,2857.77,Online,Others,20,0
TXN261,46,Male,Low,4856.41,In-store,Entertainment,49,0
TXN262,20,Female,Medium,2637.92,Online,Clothing,38,0
TXN263,37,Male,Low,2617.0,Online,Electronics,12,0
TXN264,53,Female,High,3138.62,In-store,Clothing,28,0
TXN265,36,Male,High,4645.13,In-store,Clothing,21,0
TXN266,43,Female,Medium,1945.44,Online,Clothing,5,0
TXN267,20,Female,Low,199.5,Online,Electronics,6,0
TXN268,36,Female,High,910.31,Online,Electronics,1,0
TXN269,37,Male,Medium,4801.93,Online,Electronics,46,0
TXN270,49,Female,Low,1312.86,Online,Clothing,40,0
TXN271,24,Male,High,3721.18,Online,Others,33,0
TXN272,69,Female,Low,1924.09,In-store,Grocery,7,0
TXN273,58,Male,Medium,197.5,Online,Clothing,21,0
TXN274,50,Male,High,1660.72,Online,Grocery,7,0
TXN275,57,Male,Low,2070.01,In-store,Electronics,16,0
TXN276,56,Female,Low,1166.03,Online,Clothing,29,0
TXN277,35,Female,Very High,4847.12,Online,Others,40,0
TXN278,57,Male,High,4954.08,Online,Electronics,19,0
TXN279,18,Female,Low,1389.75,In-store,Electronics,49,0
TXN280,28,Female,Medium,4797.39,Online,Clothing,14,0
TXN281,45,Female,Low,4600.7,In-store,Clothing,11,0
TXN282,42,Male,High,4745.06,Online,Grocery,40,0
TXN283,67,Female,Medium,3685.23,Online,Electronics,31,0
TXN284,40,Female,High,2448.74,Online,Grocery,20,0
TXN285,48,Male,Very High,2063.68,Online,Grocery,40,0
TXN286,47,Female,Very High,152.13,Online,Clothing,7,0
TXN287,59,Male,Low,1078.71,Online,Clothing,46,0
TXN288,52,Female,Very High,3699.28,In-store,Entertainment,9,0
TXN289,24,Female,Low,575.89,Online,Grocery,47,0
TXN290,33,Male,Low,75.44,In-store,Clothing,3,0
TXN291,43,Male,Low,3958.27,In-store,Electronics,35,0
TXN292,65,Male,Medium,1965.6,In-store,Grocery,32,0
TXN293,69,Male,Medium,1983.66,In-store,Grocery,38,0
TXN294,66,Female,High,1366.1,Online,Clothing,44,0
TXN295,19,Female,Very High,4201.52,Online,Grocery,32,0
TXN296,18,Male,Medium,4088.36,In-store,Electronics,43,0
TXN297,65,Female,Medium,2532.85,Online,Grocery,27,0
TXN298,29,Male,Medium,2942.55,In-store,Others,28,0
TXN299,22,Female,Medium,1236.34,In-store,Others,23,0
TXN300,54,Male,Medium,729.57,Online,Clothing,19,0
TXN301,49,Female,Very High,1667.87,Online,Electronics,45,0
TXN302,26,Male,Low,3885.09,Online,Grocery,43,0
TXN303,58,Male,High,4465.0,Online,Clothing,15,0
TXN304,52,Female,Low,2090.61,Online,Clothing,9,0
TXN305,36,Male,Medium,4487.07,Online,Electronics,20,0
TXN306,65,Female,High,1479.1,Online,Others,32,0
TXN307,33,Female,Low,1909.8,Online,Others,46,0
TXN308,20,Female,High,1596.78,In-store,Entertainment,8,0
TXN309,37,Female,Medium,1215.93,In-store,Entertainment,24,0
TXN310,41,Male,High,2011.53,In-store,Grocery,13,0
TXN311,50,Female,High,1693.66,Online,Electronics,2,0
TXN312,41,Female,Low,1085.02,In-store,Electronics,36,0
TXN313,69,Male,Very High,2648.51,Online,Electronics,39,0
TXN314,28,Female,Low,3273.39,In-store,Others,9,0
TXN315,66,Female,Medium,3693.63,Online,Grocery,33,0
TXN316,25,Female,Very High,3956.31,In-store,Grocery,0,0
TXN317,53,Male,Low,2543.11,In-store,Electronics,49,0
TXN318,55,Female,Medium,1824.24,In-store,Clothing,15,0
TXN319,57,Male,Low,1321.51,Online,Others,15,0
TXN320,37,Female,Low,2114.0,In-store,Others,16,0
TXN321,52,Female,Low,1517.03,Online,Electronics,36,0
TXN322,65,Male,Very High,2749.85,In-store,Others,22,0
TXN323,42,Female,Medium,70.28,In-store,Others,6,0
TXN324,52,Female,Low,2373.56,Online,Others,19,0
TXN325,42,Female,Very High,3701.65,In-store,Others,24,0
TXN326,46,Male,Low,1404.36,Online,Clothing,40,0
TXN327,35,Female,High,4358.47,In-store,Grocery,33,0
TXN328,63,Female,Medium,916.19,Online,Grocery,3,0
TXN329,35,Female,Medium,3952.82,In-store,Grocery,33,0
TXN330,19,Male,Low,3709.23,In-store,Electronics,6,0
TXN331,52,Male,Medium,1978.18,Online,Grocery,20,0
TXN332,33,Female,Very High,18.57,In-store,Entertainment,10,0
TXN333,58,Male,Low,488.23,In-store,Grocery,27,0
TXN334,53,Female,Low,2759.04,In-store,Others,28,0
TXN335,50,Male,Very High,4642.39,Online,Grocery,10,0
TXN336,21,Female,Low,2226.17,In-store,Electronics,49,0
TXN337,50,Female,Low,3812.07,In-store,Grocery,6,0
TXN338,31,Female,Low,794.77,Online,Others,27,0
TXN339,38,Male,Low,3998.92,Online,Grocery,7,0
TXN340,65,Female,Medium,1324.42,Online,Grocery,14,0
TXN341,37,Female,Low,629.44,In-store,Electronics,8,0
TXN342,25,Female,Low,2357.79,In-store,Grocery,18,0
TXN343,24,Male,High,2529.21,Online,Grocery,13,0
TXN344,20,Female,High,2959.09,In-store,Grocery,48,0
TXN345,34,Female,Low,2361.62,Online,Electronics,40,0
TXN346,50,Male,Low,2115.54,Online,Entertainment,36,0
TXN347,65,Female,Very High,3191.83,In-store,Others,7,0
TXN348,29,Male,Very High,3633.03,In-store,Grocery,28,0
TXN349,68,Female,Very High,2054.39,In-store,Electronics,24,0
TXN350,39,Female,Very High,4117.17,Online,Grocery,29,0
TXN351,39,Male,Medium,1828.83,In-store,Others,48,0
TXN352,63,Male,Low,4482.55,In-store,Clothing,37,0
TXN353,47,Female,Very High,963.3,Online,Grocery,32,0
TXN354,55,Male,High,2924.46,In-store,Entertainment,43,0
TXN355,55,Male,High,4596.57,In-store,Grocery,7,0
TXN356,62,Male,High,1098.69,Online,Grocery,44,0
TXN357,68,Male,Medium,4927.71,Online,Grocery,40,0
TXN358,25,Male,Medium,4034.39,Online,Clothing,38,0
TXN359,44,Male,Low,2030.76,Online,Others,6,0
TXN360,44,Male,Low,2455.28,Online,Electronics,10,0
TXN361,51,Female,Medium,461.65,In-store,Entertainment,8,0
TXN362,38,Female,Medium,2245.28,Online,Others,1,0
TXN363,47,Male,High,4951.48,Online,Grocery,30,0
TXN364,50,Female,Medium,4965.39,Online,Clothing,35,0
TXN365,45,Female,High,830.2,In-store,Clothing,32,0
TXN366,64,Male,Low,83.91,Online,Electronics,14,0
TXN367,50,Female,Very High,719.68,Online,Electronics,25,0
TXN368,22,Female,Low,2819.23,In-store,Grocery,34,1
TXN369,65,Male,Medium,4556.11,Online,Electronics,37,0
TXN370,36,Male,Low,121.81,Online,Others,39,0
TXN371,21,Female,Low,1728.12,Online,Others,30,0
TXN372,52,Female,Low,4972.2,Online,Grocery,26,0
TXN373,66,Male,Medium,2721.59,Online,Clothing,25,0
TXN374,34,Female,Low,2498.57,Online,Others,29,0
TXN375,61,Female,Very High,353.02,Online,Others,38,0
TXN376,45,Male,High,1834.92,Online,Grocery,32,0
TXN377,47,Male,Medium,2254.25,In-store,Grocery,39,0
TXN378,46,Male,Medium,2514.22,In-store,Grocery,39,1
TXN379,63,Male,Low,4489.4,Online,Electronics,18,0
TXN380,23,Male,Medium,4537.47,Online,Grocery,41,0
TXN381,52,Female,Medium,2114.46,In-store,Grocery,4,0
TXN382,58,Female,Low,140.45,Online,Clothing,46,0
TXN383,54,Male,Medium,4339.64,Online,Grocery,21,0
TXN384,41,Female,Medium,2843.96,Online,Grocery,19,0
TXN385,46,Male,Medium,872.03,Online,Grocery,32,0
TXN386,66,Male,High,3066.62,In-store,Clothing,5,0
TXN387,63,Female,Medium,2881.44,In-store,Clothing,26,0
TXN388,48,Male,Low,1799.59,Online,Grocery,40,0
TXN389,52,Female,Low,310.46,Online,Entertainment,29,0
TXN390,50,Female,High,136.02,In-store,Grocery,12,1
TXN391,69,Female,Low,3455.22,In-store,Others,15,0
TXN392,38,Male,High,494.11,In-store,Others,9,0
TXN393,49,Male,Medium,4567.57,Online,Grocery,23,0
TXN394,40,Male,High,743.11,Online,Entertainment,48,0
TXN395,50,Female,Low,2755.93,In-store,Grocery,40,0
TXN396,20,Female,Low,3874.79,Online,Entertainment,34,0
TXN397,35,Female,High,4289.58,Online,Clothing,9,0
TXN398,42,Female,Low,4434.7,Online,Entertainment,26,0
TXN399,59,Female,Low,2779.84,Online,Clothing,20,0
TXN400,48,Female,Low,1201.15,Online,Electronics,48,0
TXN401,20,Male,Low,1024.1,Online,Electronics,36,0
TXN402,57,Female,Low,2245.76,Online,Electronics,11,0
TXN403,63,Female,Very High,3149.99,Online,Entertainment,11,0
TXN404,41,Male,Low,4309.71,Online,Grocery,40,0
TXN405,67,Female,High,2522.21,Online,Grocery,41,0
TXN406,49,Female,Medium,3508.51,In-store,Grocery,22,0
TXN407,64,Female,High,3453.39,Online,Grocery,39,0
TXN408,39,Female,High,600.18,Online,Grocery,46,0
TXN409,40,Male,Low,4077.7,Online,Grocery,16,0
TXN410,19,Male,Medium,2156.58,In-store,Entertainment,40,0
TXN411,44,Male,Low,293.89,Online,Electronics,33,0
TXN412,59,Female,High,2851.14,In-store,Others,9,0
TXN413,19,Male,High,4536.69,Online,Electronics,47,0
TXN414,43,Male,Low,3799.14,Online,Grocery,27,0
TXN415,34,Female,Medium,609.15,In-store,Electronics,28,0
TXN416,57,Male,Medium,4000.78,Online,Electronics,4,0
TXN417,50,Male,Medium,237.1,In-store,Others,27,0
TXN418,26,Male,Low,2879.76,Online,Others,36,0
TXN419,60,Male,Low,584.0,In-store,Grocery,35,0
TXN420,65,Male,High,3015.41,Online,Clothing,27,0
TXN421,56,Male,Low,773.05,Online,Grocery,14,0
TXN422,46,Male,Low,4469.78,Online,Others,41,0
TXN423,59,Male,Low,3263.8,Online,Clothing,18,0
TXN424,43,Male,Low,2202.95,In-store,Entertainment,45,0
TXN425,52,Female,Medium,4537.16,In-store,Clothing,26,0
TXN426,67,Male,Medium,872.37,Online,Others,17,0
TXN427,42,Female,Medium,4392.05,Online,Others,33,0
TXN428,41,Male,High,575.38,Online,Grocery,45,1
TXN429,30,Male,High,3863.23,In-store,Others,34,0
TXN430,24,Male,Low,722.42,Online,Entertainment,5,0
TXN431,53,Female,Low,776.89,In-store,Others,48,0
TXN432,62,Male,Low,4309.47,Online,Electronics,7,0
TXN433,37,Female,High,2244.37,Online,Grocery,45,0
TXN434,18,Female,Medium,1280.44,Online,Clothing,4,0
TXN435,25,Male,Low,3296.62,In-store,Grocery,29,0
TXN436,63,Female,Low,4309.51,In-store,Grocery,45,0
TXN437,33,Male,High,2083.97,In-store,Grocery,32,0
TXN438,31,Male,Low,1436.53,In-store,Clothing,10,0
TXN439,29,Male,Low,1390.03,In-store,Entertainment,37,0
TXN440,68,Male,Medium,3415.57,Online,Grocery,35,0
TXN441,40,Male,High,3537.56,In-store,Electronics,26,0
TXN442,32,Female,Medium,4567.79,In-store,Others,21,0
TXN443,45,Male,High,115.33,In-store,Clothing,3,0
TXN444,51,Female,Medium,694.17,Online,Entertainment,6,0
TXN445,19,Male,Medium,2951.99,Online,Others,17,0
TXN446,49,Female,Medium,1475.49,In-store,Clothing,9,0
TXN447,40,Male,High,2255.6,Online,Others,26,0
TXN448,39,Female,Low,4636.29,Online,Others,5,0
TXN449,68,Female,High,492.12,Online,Entertainment,4,0
TXN450,42,Male,Medium,3244.95,Online,Entertainment,31,1
TXN451,39,Male,High,4022.69,Online,Grocery,17,0
TXN452,39,Male,Medium,611.18,In-store,Clothing,33,0
TXN453,66,Male,Medium,3236.54,Online,Grocery,10,0
TXN454,69,Male,Low,4159.83,Online,Entertainment,34,0
TXN455,59,Female,High,1041.6,Online,Clothing,14,0
TXN456,23,Male,Very High,683.15,Online,Grocery,49,0
TXN457,32,Female,Medium,334.92,In-store,Grocery,22,0
TXN458,60,Male,Low,3646.91,Online,Grocery,11,0
TXN459,54,Female,Medium,2075.65,Online,Grocery,34,0
TXN460,50,Male,Low,2501.96,Online,Others,20,0
