Monthly_Spending,Visit_Frequency,Customer_Support_Calls,Membership_Years,Discounts_Used,Churn
373,25,4,4,0,0
194,14,6,5,0,0
183,16,8,7,18,0
426,6,9,9,2,0
481,2,0,0,6,0
403,23,8,7,11,0
195,11,2,1,15,0
290,11,0,6,12,0
498,26,6,3,17,0
83,10,2,7,16,0
304,4,7,5,8,0
25,17,1,4,13,0
197,10,3,9,4,0
421,9,1,9,10,0
469,13,3,4,19,0
181,11,0,3,5,0
195,10,9,2,5,0
41,24,4,2,7,0
72,5,2,2,0,0
358,3,8,6,8,0
310,4,3,7,9,0
318,3,5,7,16,0
198,10,8,1,2,0
315,24,1,2,12,0
420,13,6,1,7,0
35,5,2,5,19,0
396,13,0,2,13,0
355,27,8,5,19,0
48,24,8,3,7,0
202,1,3,9,18,0
172,25,8,9,12,0
62,11,6,5,5,0
484,26,3,2,3,0
183,3,1,4,5,0
205,17,4,7,19,0
220,19,7,2,1,0
287,13,9,8,9,0
197,16,9,8,10,0
399,18,5,6,10,0
317,23,4,7,2,0
466,26,3,8,10,0
340,20,5,0,7,0
223,23,2,6,16,0
338,19,1,9,0,0
38,6,0,2,15,0
180,23,8,5,19,0
131,7,0,8,6,0
467,15,3,9,7,0
427,5,5,7,12,0
168,16,8,1,4,0
95,6,3,3,17,0
311,3,6,4,11,0
13,12,6,9,15,0
11,4,5,5,2,0
142,27,8,6,11,0
311,22,9,3,18,0
88,3,6,3,19,0
156,16,2,4,17,0
175,16,5,8,7,0
324,23,6,8,12,0
472,19,6,0,7,0
247,15,5,4,9,0
337,9,2,4,13,0
285,20,5,6,14,0
213,2,1,7,14,0
461,6,9,2,5,0
62,14,0,0,13,0
495,9,7,1,5,0
116,29,2,5,0,0
64,10,7,5,9,0
255,26,2,4,18,0
432,18,1,4,10,0
386,15,7,8,2,0
173,4,2,6,5,0
451,5,7,5,8,0
24,25,1,6,8,0
10,23,3,2,3,0
360,21,8,6,2,0
146,6,0,2,19,0
160,25,1,7,18,0
189,15,1,9,10,0
419,20,8,9,18,0
241,29,9,8,16,0
496,2,4,2,7,0
197,16,3,6,5,0
27,5,9,7,4,0
234,23,9,2,7,0
114,28,3,5,7,0
496,4,6,6,2,0
215,28,2,3,18,0
195,1,8,5,15,0
74,8,4,6,9,0
342,21,8,6,2,0
381,10,0,0,8,0
216,15,9,1,7,0
238,2,7,0,7,0
78,19,1,8,7,0
151,12,7,6,19,0
215,10,3,6,6,0
183,12,1,2,13,0
206,26,1,4,16,0
340,21,5,1,11,0
425,27,2,4,4,0
316,20,9,7,1,0
206,25,2,9,14,0
237,9,8,2,10,0
280,8,4,3,14,0
446,2,6,7,12,0
208,21,4,1,18,0
334,24,1,0,11,0
487,24,7,2,14,0
24,7,8,1,11,0
295,4,1,9,17,0
343,19,1,1,3,0
417,8,3,3,10,0
225,24,7,5,14,0
44,13,4,9,4,0
78,26,4,9,4,0
405,21,6,4,19,0
221,3,3,3,9,0
55,5,8,7,9,0
391,20,3,4,5,0
462,8,7,1,5,0
257,2,2,3,5,0
429,27,5,6,6,0
94,24,0,3,17,0
57,10,6,5,3,0
240,22,6,1,13,0
76,16,1,8,10,0
486,4,4,3,6,0
447,27,3,0,17,0
98,14,9,2,19,0
228,3,8,6,1,0
429,10,1,9,1,0
61,13,2,8,6,0
31,5,0,5,10,0
431,22,9,3,17,0
108,17,4,1,19,0
455,17,2,8,6,0
458,11,3,7,19,0
140,26,3,6,4,0
97,19,5,1,1,0
145,18,9,1,13,0
383,28,6,7,6,0
48,17,6,8,9,0
27,11,7,8,17,0
114,15,2,7,7,0
396,8,4,0,15,0
155,12,9,4,13,0
345,29,5,6,8,0
233,17,5,9,5,0
126,26,7,5,6,0
10,24,4,0,8,0
126,5,4,9,6,0
393,29,0,5,8,0
35,4,0,3,6,0
445,24,5,2,11,0
21,24,9,3,16,0
303,11,9,7,19,0
350,8,4,5,11,0
178,16,9,8,4,0
62,16,5,4,17,0
278,3,8,8,4,0
257,12,7,3,4,0
137,24,6,3,6,0
85,13,6,5,2,0
278,1,5,9,0,0
155,29,5,6,5,0
412,4,0,1,6,0
412,21,6,3,7,0
463,6,4,7,13,0
57,5,6,8,14,0
208,5,5,4,6,0
80,21,7,5,6,0
421,25,2,9,0,0
101,10,7,6,8,0
412,26,6,6,6,0
473,19,0,2,19,0
218,18,2,1,6,0
351,26,9,9,17,0
348,2,3,7,13,0
57,16,8,8,14,0
38,15,5,7,17,0
185,24,6,7,9,0
28,5,4,1,2,0
364,21,2,3,10,0
56,22,4,5,0,0
354,9,6,7,1,0
69,23,8,1,15,0
185,5,8,7,2,0
264,5,7,0,16,0
413,26,4,5,2,0
238,9,6,7,10,0
156,9,3,7,3,0
307,2,9,6,6,0
342,7,4,6,15,0
248,26,3,9,16,0
341,1,2,8,10,0
442,20,0,1,3,0
408,2,4,0,2,0
197,26,1,1,15,0
333,25,5,2,1,0
344,12,4,8,4,0
218,6,1,9,17,0
420,20,7,6,2,0
84,19,4,4,1,0
192,16,1,4,1,0
96,4,0,5,1,0
280,18,1,1,15,0
189,5,0,0,0,0
424,25,9,0,18,0
254,22,9,2,18,0
355,18,2,0,8,0
16,6,2,8,19,0
278,25,9,9,8,0
447,14,0,4,10,0
22,20,6,8,0,0
413,17,9,4,18,0
235,18,6,0,16,0
275,21,8,6,5,0
251,10,4,6,0,0
389,23,3,3,17,0
189,24,4,2,8,0
430,19,7,0,0,0
189,25,7,6,3,0
135,18,3,4,17,0
292,4,7,9,16,0
427,20,3,0,19,0
365,15,3,0,18,0
199,6,7,2,13,0
25,26,1,2,6,0
324,6,3,1,8,0
30,3,0,7,19,0
25,9,0,7,8,0
474,11,7,5,14,0
472,5,3,4,10,0
278,14,5,5,6,0
42,2,4,0,5,0
191,22,9,1,8,0
78,19,5,6,3,0
420,8,3,0,16,0
61,13,3,7,5,0
74,19,6,2,16,0
309,5,0,3,13,0
423,15,8,6,4,0
416,4,9,9,17,0
344,4,2,6,7,0
237,18,3,1,9,0
476,24,8,4,10,0
231,19,4,7,2,0
281,20,3,8,1,0
448,22,5,4,13,0
27,9,0,1,3,0
227,15,9,3,16,0
282,12,0,4,16,0
468,4,4,5,8,0
317,3,4,5,8,0
182,5,8,0,2,0
65,25,0,5,3,0
358,17,2,9,1,0
447,5,2,0,13,0
18,27,3,4,19,0
410,4,6,6,7,0
292,21,6,7,17,0
302,7,9,4,3,0
31,7,4,1,7,0
81,7,8,2,6,0
460,17,6,6,14,0
431,25,1,9,14,0
364,15,2,3,1,0
489,7,6,0,3,0
337,15,4,2,8,0
181,20,6,9,6,0
132,4,8,1,17,0
100,2,8,8,11,0
233,22,2,0,13,0
301,13,7,8,6,0
363,12,5,9,5,0
261,10,3,4,18,0
418,19,3,5,18,0
488,15,3,5,14,0
307,17,6,5,18,0
376,21,5,8,11,0
265,6,1,8,1,0
22,27,4,9,10,0
449,5,4,6,12,0
344,21,5,2,3,0
127,28,6,6,0,0
444,26,7,4,1,0
187,13,9,8,13,0
470,27,7,7,17,0
317,14,4,9,10,0
170,29,1,5,10,0
104,24,9,4,18,0
418,14,7,9,16,0
377,15,5,1,16,0
323,16,2,2,1,0
177,10,3,2,1,0
96,1,0,3,12,0
431,24,2,2,5,0
12,29,3,6,14,0
381,11,1,5,10,0
25,7,5,7,3,0
139,17,7,1,18,0
32,25,5,1,13,0
107,28,9,0,17,0
167,4,2,4,16,0
248,29,8,6,7,0
19,7,3,8,12,0
330,3,5,4,14,0
31,24,3,0,10,0
317,20,3,2,15,0
376,14,1,7,17,0
193,18,9,2,11,0
426,18,1,6,11,0
226,24,1,9,5,0
223,24,1,2,5,0
345,1,7,1,3,0
167,6,9,9,0,0
219,9,3,5,16,0
417,25,3,1,3,0
142,2,9,9,16,0
62,8,9,4,4,0
238,24,2,4,8,0
192,20,4,4,5,0
32,4,3,5,11,0
115,21,6,2,16,0
100,27,9,9,9,0
128,10,6,4,1,0
469,23,5,7,0,0
147,1,6,3,12,0
491,11,6,4,0,0
129,9,7,0,12,0
170,19,0,0,2,0
217,11,2,7,10,0
358,4,2,1,15,0
327,23,4,9,17,0
347,5,9,9,1,0
164,21,6,6,17,0
272,17,9,6,16,0
365,18,5,8,0,0
164,5,3,0,3,0
339,18,5,1,19,0
403,17,6,0,5,0
468,26,3,0,4,0
322,3,7,3,19,0
295,11,4,7,8,0
268,17,2,9,3,0
166,26,1,7,4,0
23,8,0,8,7,0
86,24,3,1,16,0
348,8,1,6,14,0
418,23,2,3,19,0
403,23,0,2,12,0
344,2,5,3,14,0
229,25,3,3,3,0
241,7,4,2,17,0
442,21,7,8,18,0
303,20,3,7,7,0
464,24,5,9,13,0
151,21,2,1,0,0
260,6,7,2,1,0
423,20,2,9,19,0
305,18,6,6,2,0
149,28,6,4,15,0
485,7,2,0,2,0
151,28,2,0,5,0
138,18,9,7,7,0
333,27,9,5,11,0
314,12,7,3,4,0
27,7,2,2,4,0
252,7,1,8,2,0
173,1,4,8,3,0
329,29,6,3,4,0
105,10,7,7,2,0
37,10,0,3,9,0
485,12,1,7,18,0
239,3,6,6,7,0
425,3,8,5,5,0
465,13,2,6,6,0
34,13,7,5,5,0
184,27,9,5,12,0
413,6,2,6,12,0
170,27,3,3,4,0
39,3,1,4,5,0
174,28,8,8,9,0
217,15,4,1,19,0
446,9,4,8,9,0
482,21,3,4,15,0
111,6,4,9,17,0
382,6,0,0,2,0
115,8,9,6,0,0
339,26,9,4,2,0
78,11,5,2,18,0
17,19,3,2,0,0
132,16,3,0,7,0
362,9,4,6,18,0
110,23,0,1,3,0
10,11,3,7,15,0
360,16,9,3,4,0
16,29,2,3,4,0
327,6,4,4,1,0
120,27,9,8,5,0
352,17,4,6,6,0
195,16,7,2,14,0
225,20,0,3,9,0
471,21,2,8,9,0
352,28,4,0,18,0
132,18,2,7,15,0
210,1,5,7,8,0
17,18,9,6,7,0
73,8,2,5,18,0
145,26,5,6,0,0
396,22,7,9,16,0
392,10,3,3,17,0
195,2,7,3,14,0
136,9,6,4,5,0
425,24,3,3,16,0
381,4,2,3,17,0
461,11,4,8,18,0
58,10,4,5,1,0
175,14,6,2,6,0
395,7,0,2,16,0
136,19,8,9,14,0
402,6,1,7,15,0
311,16,8,2,16,0
330,19,8,3,2,0
186,26,2,5,9,0
212,29,6,8,5,0
166,19,2,5,1,0
355,13,7,2,10,0
228,12,7,5,7,0
495,27,2,3,13,0
294,25,4,4,11,0
298,22,6,4,19,0
37,15,0,2,6,0
360,8,2,4,17,0
92,4,0,4,4,0
121,20,1,6,5,0
163,8,6,8,12,0
379,23,6,4,1,0
38,21,2,8,18,0
404,16,5,4,7,0
498,16,5,3,10,0
489,2,1,5,15,0
222,22,8,7,0,0
111,17,7,3,15,0
427,23,1,4,11,0
369,25,3,9,16,0
223,5,8,0,8,0
313,5,3,9,5,0
164,12,6,0,6,0
389,7,4,7,12,0
209,5,9,6,16,0
177,26,5,4,9,0
247,28,0,8,10,0
168,28,3,0,13,0
202,4,4,2,16,0
176,17,5,5,15,0
235,6,5,0,4,0
376,14,4,5,17,0
260,9,2,1,10,0
289,4,1,9,9,0
485,26,6,4,5,0
461,11,0,9,9,0
475,20,4,1,10,0
230,21,3,0,0,0
32,16,6,3,4,0
494,16,1,1,1,0
198,16,7,8,10,0
420,6,8,2,13,0
281,15,9,8,12,0
438,3,0,3,10,0
36,9,4,9,5,0
466,1,3,6,1,0
398,11,4,6,18,0
452,22,8,5,8,0
465,6,2,7,17,0
219,24,0,5,13,0
44,5,2,8,12,0
207,25,3,4,11,0
480,25,1,2,11,0
183,28,0,4,12,0
227,18,0,3,6,0
65,21,7,2,15,0
392,12,3,0,16,0
496,7,1,7,8,0
161,2,9,3,13,0
403,7,2,2,8,0
472,9,7,3,5,0
47,24,5,0,0,0
477,26,7,5,19,0
486,25,9,2,0,0
207,20,4,7,18,0
441,8,2,9,14,0
18,9,5,4,16,0
187,10,9,8,19,0
334,12,7,8,7,0
185,2,4,1,2,0
432,10,4,4,11,0
476,3,2,6,14,0
270,1,2,6,17,0
93,17,7,9,12,0
148,26,0,2,4,0
251,22,3,6,16,0
325,1,8,6,2,0
164,5,5,3,18,0
230,14,5,6,5,0
144,6,9,7,16,0
197,9,6,2,4,0
187,22,6,1,4,0
76,14,5,8,18,0
78,4,8,6,10,0
448,1,7,0,0,0
86,6,7,9,12,0
409,7,1,9,16,0
383,21,6,8,10,0
21,6,0,4,17,0
496,26,9,1,3,0
292,24,7,6,9,0
255,1,2,8,10,0
246,8,8,2,17,0
261,12,4,3,0,0
426,29,6,8,3,0
216,11,6,1,4,0
350,2,8,3,1,0
117,2,1,4,11,0
218,24,3,3,10,0
320,2,7,6,15,0
317,8,4,5,3,0
302,21,4,8,6,0
122,25,2,3,12,0
385,25,4,8,13,0
24,24,6,0,10,0
349,25,3,5,7,0
92,7,7,6,0,0
74,16,5,8,7,0
461,24,5,0,18,0
12,22,5,0,16,0
465,9,3,1,8,0
370,16,2,5,12,0
245,2,9,2,14,0
398,3,5,5,12,0
402,2,5,1,7,0
138,22,1,9,11,0
256,19,9,5,10,0
244,27,8,6,19,0
39,17,3,5,12,0
80,20,3,1,15,0
479,21,9,4,1,0
157,12,7,9,5,0
102,11,2,5,15,0
292,20,9,7,17,0
226,22,6,8,16,0
247,19,6,4,14,0
236,26,1,6,6,0
228,6,2,3,13,0
328,10,3,9,6,0
468,14,1,4,5,0
346,1,8,0,11,0
40,15,9,2,1,0
475,6,5,1,0,0
412,13,0,5,17,0
123,24,0,8,4,0
111,26,7,9,6,0
102,14,5,2,14,0
216,13,9,1,5,0
455,24,6,1,1,0
400,16,5,5,16,0
238,1,1,9,12,0
430,14,2,5,12,0
80,13,7,4,13,0
351,23,3,8,7,0
469,10,7,6,14,0
145,10,2,6,10,0
450,28,1,0,12,0
475,4,6,9,19,0
293,14,0,9,0,0
347,12,2,1,1,0
360,22,1,2,10,0
26,6,4,4,13,0
224,15,1,3,4,0
404,5,9,7,6,0
408,10,4,3,15,0
423,9,2,5,10,0
253,27,8,8,14,0
104,10,9,1,3,0
130,24,8,7,9,0
15,12,7,4,0,0
277,22,4,9,6,0
96,4,9,5,11,0
198,29,6,2,10,0
112,4,1,7,10,0
113,13,2,1,16,0
429,25,1,0,0,0
300,14,9,0,14,0
76,12,0,7,19,0
115,13,2,1,17,0
257,20,3,4,3,0
357,13,8,1,18,0
216,23,1,3,4,0
214,22,8,8,13,0
328,2,0,1,12,0
92,21,8,3,18,0
433,19,5,9,18,0
91,9,7,4,15,0
296,10,2,9,18,0
46,17,7,9,0,0
222,10,8,4,9,0
496,20,6,4,1,0
142,13,3,9,14,0
124,20,5,9,18,0
386,25,5,1,3,0
474,1,1,7,3,0
220,2,1,4,11,0
141,17,4,5,18,0
383,13,0,7,8,0
163,17,4,7,15,0
417,28,9,9,14,0
432,13,2,6,8,0
449,17,2,7,18,0
447,19,7,9,17,0
303,27,2,6,6,0
375,14,2,9,15,0
191,20,0,5,14,0
156,10,7,4,10,0
231,2,9,4,5,0
291,14,9,7,2,0
136,17,5,0,13,0
317,5,7,1,5,0
212,22,2,0,16,0
127,18,5,9,18,0
70,3,1,6,17,0
240,16,2,8,19,0
460,26,3,6,15,0
159,19,8,8,2,0
154,18,3,3,5,0
404,20,6,6,16,0
120,5,7,9,19,0
176,8,4,9,4,0
198,6,1,6,15,0
484,15,7,9,16,0
58,25,4,9,15,0
116,3,4,1,8,0
102,26,6,1,6,0
133,9,5,7,4,0
326,27,2,1,8,0
149,11,6,0,9,0
406,20,0,0,0,0
323,24,3,0,6,0
20,26,3,5,4,0
457,23,5,4,5,0
424,14,5,6,5,0
404,23,9,2,14,0
387,9,7,4,7,0
370,10,0,1,0,0
180,15,6,8,9,0
45,18,3,8,2,0
139,21,5,3,15,0
352,19,9,1,0,0
70,7,8,9,15,0
429,19,2,7,13,0
343,5,7,3,4,0
494,21,2,4,15,0
58,18,5,3,10,0
420,27,1,1,17,0
405,1,8,5,6,0
195,12,1,0,7,0
230,6,4,7,16,0
15,13,5,0,13,0
309,17,3,4,16,0
184,9,6,8,11,0
288,26,6,0,17,0
380,21,6,9,0,0
467,1,6,6,6,0
363,12,9,6,5,0
373,24,9,4,14,0
213,1,8,3,17,0
105,4,1,8,10,0
291,7,4,4,16,0
144,20,9,0,0,0
425,28,8,8,1,0
42,5,1,4,6,0
91,23,2,8,9,0
492,20,6,7,13,0
157,5,8,9,11,0
104,7,2,6,16,0
462,17,9,5,13,0
489,12,7,8,18,0
445,15,7,3,9,0
179,3,3,4,11,0
220,17,5,0,6,0
394,14,7,6,7,0
200,15,8,5,12,0
16,15,1,6,5,0
389,15,0,0,7,0
323,19,4,6,4,0
351,11,9,6,8,0
443,18,2,7,10,0
43,21,5,1,12,0
60,10,0,0,0,0
129,21,3,0,6,0
147,26,5,7,5,0
376,9,1,6,7,0
115,24,7,8,1,0
291,3,3,1,16,0
41,1,1,3,16,0
133,21,0,7,17,0
179,11,7,5,6,0
484,16,9,1,14,0
455,3,0,9,12,0
21,21,6,1,19,0
177,9,6,6,13,0
352,11,5,8,14,0
87,17,7,7,2,0
43,1,9,1,5,1
218,9,0,2,8,0
335,3,0,7,13,0
420,28,0,3,15,0
17,10,5,5,16,0
234,5,6,1,11,0
236,25,9,0,3,0
184,11,8,5,4,0
90,5,9,7,10,0
291,12,4,4,10,0
66,14,0,0,7,0
144,12,8,9,17,0
247,19,4,1,5,0
481,9,5,2,6,0
226,28,8,1,5,0
236,7,1,8,13,0
35,16,2,9,19,0
196,28,6,1,5,0
379,28,2,2,3,0
127,7,1,8,12,0
206,14,6,2,16,0
125,8,7,7,11,0
312,27,8,7,8,0
111,21,1,2,19,0
389,18,1,9,2,0
172,27,6,9,10,0
423,25,3,2,4,0
187,3,4,7,2,0
482,27,0,2,16,0
289,2,5,3,8,0
295,26,9,4,5,0
221,26,7,6,17,0
63,5,0,0,5,0
76,8,1,7,5,0
41,19,6,2,9,0
260,22,1,6,10,0
17,9,8,9,13,0
443,2,5,2,11,0
440,15,4,8,19,0
224,8,6,9,17,0
55,10,9,4,14,0
89,7,7,2,9,0
44,19,8,2,0,0
198,1,5,3,14,0
98,22,4,4,1,0
344,2,6,4,19,0
444,3,1,7,1,0
456,28,7,9,3,0
145,14,3,5,13,0
43,15,0,4,18,0
290,21,2,1,13,0
122,14,8,4,12,0
181,27,3,6,0,0
348,8,9,2,9,0
52,18,9,6,13,0
391,22,2,0,16,0
443,17,3,5,15,0
22,7,2,0,14,0
183,20,2,6,10,0
134,1,1,5,11,0
341,9,5,9,0,0
216,9,9,0,2,0
352,11,5,8,10,0
446,19,9,4,10,0
456,6,3,6,4,0
113,7,7,0,14,0
139,29,5,7,19,0
49,15,7,7,15,0
32,20,5,8,2,0
261,6,8,1,7,0
452,9,2,5,15,0
334,15,2,9,15,0
299,26,1,4,3,0
211,22,9,5,14,0
164,23,5,4,18,0
64,6,6,0,14,0
115,7,6,1,12,0
269,17,4,2,9,0
461,6,5,6,1,0
209,28,6,9,5,0
335,9,1,8,16,0
226,27,9,1,7,0
420,3,6,9,15,0
56,14,0,0,12,0
379,6,5,0,11,0
126,4,7,3,15,0
383,16,0,8,6,0
433,23,0,3,9,0
221,16,5,2,5,0
164,23,4,9,4,0
272,29,2,7,17,0
160,9,9,8,15,0
221,4,9,4,2,0
201,8,6,1,2,0
378,24,6,3,4,0
252,8,6,9,1,0
107,24,5,7,0,0
38,6,3,1,3,0
198,8,8,8,9,0
181,6,8,4,12,0
380,26,6,6,2,0
206,14,6,4,10,0
164,14,7,2,2,0
149,18,4,1,9,0
410,13,8,2,8,0
302,15,5,1,9,0
299,3,6,1,12,0
265,6,6,1,17,0
487,23,8,1,17,0
173,20,6,7,16,0
143,17,2,4,16,0
361,20,5,8,4,0
425,16,5,4,8,0
338,6,6,0,11,0
387,8,5,7,11,0
415,29,3,2,18,0
275,28,5,9,6,0
38,13,2,9,19,0
148,29,0,1,11,0
357,13,0,5,8,0
459,20,4,3,7,0
321,26,7,3,18,0
94,17,2,8,2,0
258,21,1,9,10,0
360,23,7,7,11,0
323,22,8,2,16,0
242,3,8,8,6,0
317,13,1,0,2,0
70,7,7,6,6,0
